pl_name,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_dens,hostname,sy_dist,st_mass,st_spectype,st_lum,st_teff,st_met,st_age
Kepler-19 b,Transit,2011,0,9.28716,2.209,8.4,10.4,Kepler-19,218.562,0.9400000000000001,,-0.161,5544.0,-0.08,1.9
K2-8 b,Transit,2015,0,10.35239,3.58,12.5,1.5,K2-8,403.513,0.78,K3 V,-0.553,4870.0,-0.02,
WASP-17 b,Transit,2009,0,3.73543,20.961,247.9074,0.08199999999999999,WASP-17,405.908,2.2800000000000002,F4,0.613,6550.0,-0.25,2.65
WASP-170 b,Transit,2018,0,2.34478022,12.285,508.528,1.6,WASP-170,305.603,0.93,,-0.114,5600.0,0.22,
WASP-171 b,Transit,2019,0,3.8186244,10.985,344.52772,1.5,WASP-171,757.84,1.17,G0,0.672,5965.0,0.04,5.908
WASP-175 b,Transit,2019,0,3.0652907,13.54,314.6517,0.74,WASP-175,539.36,1.21,F7,0.789,6229.0,0.15,1.745
TOI-544 b,Transit,2022,0,1.548351,2.03,4.78,3.14,TOI-544,41.1166,0.85,,-0.9,4369.0,,
WASP-28 b,Transit,2014,0,3.40883495,13.664,282.54945,0.6511629999999999,WASP-28,348.494,0.99,F8,0.15,6084.0,-0.2,5.5
WASP-34 b,Transit,2010,0,4.31768,11.209,177.9848,0.412,WASP-34,132.096,0.96,,0.039,5700.0,-0.02,7.8
WASP-39 b,Transit,2011,0,4.055259,14.235,88.989,0.186,WASP-39,213.982,0.93,,-0.128,5400.0,0.01,9.0
WASP-43 b,Transit,2011,0,0.8134750000000001,10.424,565.714,2.939,WASP-43,86.7467,0.58,K7 V,-0.8250000000000001,4400.0,-0.01,7.0
WASP-44 b,Transit,2011,0,2.423804,12.33,276.5121,0.8109999999999999,WASP-44,364.512,0.9400000000000001,G8 V,-0.198,5420.0,-0.003,10.3
WASP-45 b,Transit,2011,0,3.126089,10.604,306.38812,1.418,WASP-45,211.196,0.85,K2 V,-0.336,5150.0,-0.03,12.7
Kepler-102 c,Transit,2014,0,7.07142,0.58,3.0,,Kepler-102,107.796,0.8,,-0.584,4903.0,0.08,1.4100000000000001
Kepler-102 f,Transit,2014,0,27.4536,0.88,5.2,,Kepler-102,107.796,0.8,,-0.584,4903.0,0.08,1.4100000000000001
Kepler-210 c,Transit,2014,0,7.972513,3.62,12.8,1.48,Kepler-210,232.75,0.77,M0 V,-0.799,4559.0,0.277,1.78
Kepler-37 c,Transit,2013,0,21.302,0.75,12.0,,Kepler-37,63.9207,0.8,,-0.322,5417.0,-0.32,5.66
Kepler-1118 b,Transit,2016,0,38.6715075,2.74,7.95,2.12,Kepler-1118,888.325,0.96,,-0.06,5688.0,0.0,4.07
Kepler-1303 b,Transit,2016,0,7.56127224,1.42,2.6,4.99,Kepler-1303,897.783,1.01,,-0.002,5771.0,0.04,4.47
Kepler-1328 b,Transit,2016,0,4.52158888,0.98,0.904,5.28,Kepler-1328,813.543,1.0,,0.228,5780.0,0.0,4.57
Kepler-1306 b,Transit,2016,0,16.29595382,1.9100000000000001,4.31,3.4,Kepler-1306,1107.5,0.98,,-0.063,5727.0,0.0,4.57
Kepler-125 c,Transit,2014,0,5.774464,0.74,0.33,4.47,Kepler-125,183.365,0.54,M1 V,-1.328,3810.0,-0.14,13.5
Kepler-1254 d,Transit,2016,0,5.72717226,1.31,2.27,5.55,Kepler-1254,622.818,0.78,,-0.5720000000000001,4985.0,-0.1,5.62
Kepler-172 b,Transit,2014,0,2.940309,2.35,6.12,2.59,Kepler-172,828.592,1.0,,-0.032,5526.0,0.23,6.46
Kepler-173 c,Transit,2014,0,8.005777,2.43,6.48,2.48,Kepler-173,833.165,0.79,,0.074,6031.0,0.036000000000000004,3.3
Kepler-174 d,Transit,2014,0,247.35373,2.19,5.43,2.84,Kepler-174,384.757,0.6,,-0.5700000000000001,4880.0,-0.44,4.9
Kepler-178 b,Transit,2014,0,9.576694,2.9,8.75,1.97,Kepler-178,716.025,0.9400000000000001,,-0.20800000000000002,5676.0,0.18,11.3
Kepler-178 c,Transit,2014,0,20.552802,2.88,8.65,1.99,Kepler-178,716.025,0.9400000000000001,,-0.20800000000000002,5676.0,0.18,11.3
Kepler-18 c,Transit,2011,0,7.64159,5.49,17.3,0.59,Kepler-18,433.047,0.97,,-0.031,5345.0,0.19,10.0
Kepler-159 c,Transit,2014,0,43.595792,3.41,11.5,1.5899999999999999,Kepler-159,373.744,0.63,M0 V,-0.754,4625.0,-0.28,2.51
WASP-42 b,Transit,2012,0,4.9816819,12.576,167.49641,0.46399999999999997,WASP-42,177.291,0.9500000000000001,,-0.361,5315.0,0.29,4.4
Kepler-1609 b,Transit,2016,0,114.34219,2.22,5.5600000000000005,2.79,Kepler-1609,1826.04,1.18,,0.484,6132.0,0.1,3.02
Kepler-1622 b,Transit,2016,0,10.8118737,1.47,2.76,4.77,Kepler-1622,796.477,1.31,,0.373,6436.0,0.04,2.19
Kepler-184 c,Transit,2014,0,20.303005,1.97,8.8,6.32,Kepler-184,610.326,0.97,,-0.225,5788.0,-0.196,1.7000000000000002
Kepler-183 c,Transit,2014,0,11.637071,2.27,35.7,16.8,Kepler-183,1050.64,0.9400000000000001,,0.026000000000000002,5888.0,0.101,4.27
Kepler-191 b,Transit,2014,0,9.939632,1.34,2.36,5.39,Kepler-191,594.464,0.81,,-0.41400000000000003,5282.0,0.13,0.9
